,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
62,"B Benicewicz, G Jarvinen, D Kathios",58,1998,[PDF] benicewiczgroup.com,… of radioanalytical and …,"B Benicewicz, G Jarvinen, D Kathios… - … of radioanalytical and …, 1998 - akademiai.com","… Polymeric resin beads are widely used for industrial metal ion separations as well as actinide …
and solid supported reagents for organic synthesis.14 Open-celled polymer foam monoliths have …
The open cell structure of the foams allows mass transport through a monolith to be …",Open-celled polymeric foam monoliths for heavy metal separations study,,B Benicewicz
63,"N Dukhan, AS Suleima",17,2014,No,Transport in porous media,"N Dukhan, AS Suleiman - Transport in porous media, 2014 - Springer","Open-cell metal foam is distinguished from traditional porous media by its very high porosities (often greater than 90%), and its web-like open structure and good permeability. As such, the foam is a very attractive core for many engineered systems, eg, heat",Simulation of entry-region flow in open-cell metal foam and experimental validation,Transport in porous media,N Dukhan
64,"CJ Yu, HH Eifert, J Banhart",114,1998,No,Materials Research …,"CJ Yu, HH Eifert, J Banhart… - Materials Research …, 1998 - Taylor & Franci","… By modifying the process scheme, it is possible to obtain open-cell foams. This will open up
several additional applications, such as heat exchangers, filters and catalyst carriers … Proceedings
of 1998 MRS Metal Foam Symposium (in press) 3. Baumeister J, Schrader H (1998) US …","Metal foaming by a powder metallurgy method: Production, properties and applications",Materials Research …,CJ Yu
65,"C Perrot, R Panneton, X Oln",82,2007,[PDF] archives-ouvertes.fr,Journal of Applied Physics,"C Perrot, R Panneton, X Olny - Journal of Applied Physics, 2007 - aip.scitation.org","… Influence of pore and strut shape on open cell metal foam bulk properties Prashant Kumar,
Jean-Michel Hugo, Frederic Topin, and Jerome … Aug 1991. An experimentally validated and
parameterized periodic unit-cell reconstruction of open-cell foams P. De Jaeger, C. T'Joen, H …",Periodic unit cell reconstruction of porous media: Application to open-cell aluminum foams,Journal of Applied Physics,C Perrot
66,"AH Brothers, DC Dunan",129,2005,[PDF] northwestern.edu,Advanced Materials,"AH Brothers, DC Dunand - Advanced Materials, 2005 - Wiley Online Library","… talline metal foams[12±15] (as well as the Pd-based BMG foam of Wada and … the alloy was Vit106
(Zr57Nb5Cu15.4Ni12.6Al10), which ranks among the best metal- lic glass … Scanning electron
microscopy (SEM) images of an open- cell Vit106 foam of diameter 4.47 ± 0.002 mm …",Ductile bulk metallic glass foams,Advanced Materials,AH Brothers
67,"AH Brothers, DC Dunan",94,2006,[PDF] northwestern.edu,Scripta Materialia,"AH Brothers, DC Dunand - Scripta Materialia, 2006 - Elsevier","… 1. Amorphous metal foams reported in the literature: (a) Pd-based foam made using a gas … be
imagined where quenching occurs at the strut level, as opposed to the foam level … a modified
investment casting method can be imagined in which the sacrificial open-cell polymer foam …",Amorphous metal foams,Scripta Materialia,AH Brothers
68,"EM Castrodeza, C Mapell",33,2009,No,Journal of Materials Processing Technology,"EM Castrodeza, C Mapelli - Journal of Materials Processing Technology, 2009 - Elsevier","… in literature (Ashby et al., 2000) based on the bulk metal Young's modulus and on the relative
density of the foam … The use of silica-gel as space holder that is then leached by aqueous HF
permits to obtain open-cell metal foams of a variety of HF resistant metal and alloys …",Processing of brass open-cell foam by silica-gel beads replication,Journal of Materials Processing Technology,EM Castrodeza
69,"CSY Jee, ZX Guo, JRG Evans, N Özgüve",89,2000,[PDF] researchgate.net,Metallurgical and Materials …,"CSY Jee, ZX Guo, JRG Evans, N Özgüven - Metallurgical and Materials …, 2000 - Springer","… Upon pyrolysis to remove the resin, the windows opened and the final sintered metal
foam was reticulated … the mechanical properties that closed cell foams offer for … open
cell metal foams have applications in heat dissipation …",Preparation of high porosity metal foams,Metallurgical and Materials …,CSY Jee
70,"P Kenesei, C Kádár, ZS Rajkovits, J Lendva",57,2004,No,Scripta Materialia,"P Kenesei, C Kádár, ZS Rajkovits, J Lendvai - Scripta Materialia, 2004 - Elsevier","… solution could be obtained if an open cell foam with uniform CSD was considered. Although this
seemed to be a very rough approximation for closed-cell foams, it was found to satisfactorily
describe the rising plateau stress. 2. Experimental. Alporas metal foams manufactured by …",The influence of cell-size distribution on the plastic deformation in metal foams,Scripta Materialia,P Kenesei
71,"Y Su, JH Davidson, FA Kulack",16,2013,No,International Journal of Heat and Mass …,"Y Su, JH Davidson, FA Kulacki - International Journal of Heat and Mass …, 2013 - Elsevier","A dimensionless geometry factor, defined as the ratio of the product of the microscopic length scale and the solid fluid interface area to the solid volume in a representative elementary volume (REV), connects the macroscopic and microscopic drag and heat flux",A geometry factor for natural convection in open cell metal foam,International Journal of Heat and Mass …,Y Su
72,"T Dixit, I Ghos",17,2016,No,Experimental Thermal and Fluid Science,"T Dixit, I Ghosh - Experimental Thermal and Fluid Science, 2016 - Elsevier","Experiments have been performed with high porosity, open cell copper foam blocks sandwiched between plates at constant temperature. Convective air passing through the foam carries the heat being conducted through the plate and foam matrix. Foam acts as an",An experimental study on open cell metal foam as extended heat transfer surface,Experimental Thermal and Fluid Science,T Dixit
73,"AE Markaki, TW Clyn",257,2001,No,Acta Materialia,"AE Markaki, TW Clyne - Acta Materialia, 2001 - Elsevier","… Such cracks—which do not open up significantly and have short lengths (microcracks)—were
found to a … In F1, however, intact ligaments bridging a torn cell wall were observed (Fig … in F1 occurs
by a sequential renucleation of cracks across intervening tough metal ligaments …",The effect of cell wall microstructure on the deformation and fracture of aluminium-based foams,Acta Materialia,AE Markaki
74,"X Xiao, P Zhang, M L",186,2013,No,Applied energy,"X Xiao, P Zhang, M Li - Applied energy, 2013 - Elsevier","… Aluminum foams with different pore sizes and surface area densities were studied comparatively.
Gao et al. [17] investigated the melting process of PCM embedded in the open-cell metal foam
using thermal lattice Boltzmann model, and the natural convection in the molten …",Preparation and thermal characterization of paraffin/metal foam composite phase change material,Applied energy,X Xiao
75,"KR Mangipudi, SW Van Buuren, PR Onc",24,2010,[HTML] sciencedirect.com,International Journal of Solids …,"KR Mangipudi, SW Van Buuren, PR Onck - International Journal of Solids …, 2010 - Elsevier",This paper aims at elucidating the microstructural origin of strain hardening in open-cell metal foams. We have developed a multiscale model that allows to study the development of plasticity at two length scales:(i) the development of plastic zones inside individual struts,[HTML][HTML] The microstructural origin of strain hardening in two-dimensional open-cell metal foams,International Journal of Solids …,KR Mangipudi
76,"E Amsterdam, JHB De Vries, JTM De Hosson, PR Onc",51,2008,No,Acta Materialia,"E Amsterdam, JHB De Vries, JTM De Hosson, PR Onck - Acta Materialia, 2008 - Elsevier","… properties affect the stress redistribution. Any explanation of the effect of relative density
and base material properties on the overall response of open-cell metal foams should
be done in the light of this foam-specific failure process …",The influence of strain-induced damage on the mechanical response of open-cell aluminum foam,Acta Materialia,E Amsterdam
77,"AG Evans, JW Hutchinson, MF Ashb",680,1998,[PDF] semanticscholar.org,Progress in materials science,"AG Evans, JW Hutchinson, MF Ashby - Progress in materials science, 1998 - Elsevier","… A functional form for Bi is chosen. (ii) Infrared imaging is used to map the distribution of
temperature in the cellular metal[13] (Fig. 2, Fig … Fig. 11. (a) A thermal image of the (x, z) plane
taken of an open cell Al alloy foam in accordance with the cooling scheme shown on Fig …",Multifunctionality of cellular metal systems,Progress in materials science,AG Evans
78,"WS Sanders, LJ Gibso",193,2003,No,Materials Science and Engineering: A,"WS Sanders, LJ Gibson - Materials Science and Engineering: A, 2003 - Elsevier","… the mechanical behavior of simple cubic packed hollow sphere foams and compare their
properties with those for open- and closed-cell foams … of hollow spheres can be infiltrated with
a bonding material such as epoxy or a low melting temperature metal; such materials are …",Mechanics of hollow sphere foams,Materials Science and Engineering: A,WS Sanders
79,"E Bianchi, T Heidig, CG Visconti, G Groppi",90,2012,No,Chemical engineering …,"E Bianchi, T Heidig, CG Visconti, G Groppi… - Chemical engineering …, 2012 - Elsevier","… The estimates of the wall heat transfer coefficient exhibit an inverse dependency on the foam
cell size, but are unaffected by changes in the porosity and in the fabrication material of the foams.
Highlights. ► Heat transfer characteristics of open-cell metal foams were assessed …",An appraisal of the heat transfer properties of metallic open-cell foams for strongly exo-/endo-thermic catalytic processes in tubular reactors,Chemical engineering …,E Bianchi
80,"IW Hall, M Güden, CJ Y",144,2000,[PDF] iyte.edu.tr,200,"IW Hall, M Güden, CJ Yu - 2000 - openaccess.iyte.edu.tr","… In the case of metal foams, and in open cell polymeric foams, any strain rate … In marked contrast
to previous work [6], the present foam does not exhibit strain rate sensitivity, or at most only a
very weak dependence which is masked by the scatter in experimental data …",Crushing of aluminum closed cell foams: density and strain rate effects,,IW Hall
